NIE,est_nomb_sexo,opcion_nombre,gra_nombre,sede_codigo,sede_nombre,sede_nomb_depto,sede_nomb_mun,sede_sector,sede_zona,realista,cientifico,artistico,social,emprendedor,oficina,LUGAR1,LUGAR2,LUGAR3,LUGAR4,LUGAR5,LUGAR6,codigo_ocupacional,Grupo_Ocupacional_1,Grupo_Ocupacional_2,Grupo_Ocupacional_3,Grupo_Ocupacional_4,secc_codigo
2354183,Mujer,---,SEGUNDO AÑO,11667,"COMPLEJO EDUCATIVO ""JOAQUIN RODEZNO""",SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,7,5,20,15,11,17,Artístico,Oficina,Social,Emprendedor,Realista,Científico,Artístico-Oficina,Artísticos,"Soporte administrativo, trabajo de oficina",Educación y Cultura,---,B
3560241,Hombre,---,SEGUNDO AÑO,11667,"COMPLEJO EDUCATIVO ""JOAQUIN RODEZNO""",SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,20,11,17,16,17,24,Oficina,Realista,Artístico,Emprendedor,Social,Científico,Oficina-Realista,"Soporte administrativo, trabajo de oficina",Oficio ,Cuerpos de Seguridad y servicios de protección,Transporte,B
4093116,Mujer,---,SEGUNDO AÑO,11369,"COMPLEJO EDUCATIVO ""VILLAMARIONA""",SAN SALVADOR,CUSCATANCINGO,CED_OFI,Rural,18,17,14,26,21,24,Social,Oficina,Emprendedor,Realista,Científico,Artístico,Social-Oficina,Servicios Sociales,"Soporte administrativo, trabajo de oficina",Cuerpos de Seguridad y servicios de protección,Humanidades y Ciencias Sociales,A
19997165,Mujer,---,SEGUNDO AÑO,11542,INSTITUTO NACIONAL DE COMERCIO,SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,25,29,13,32,15,22,Social,Científico,Realista,Oficina,Emprendedor,Artístico,Social-Científico,Servicios Sociales,Ciencia de Salud,Ciencia de Naturaleza y Matemáticas,Educación y Cultura,B
2232909,Mujer,---,SEGUNDO AÑO,11542,INSTITUTO NACIONAL DE COMERCIO,SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,27,14,18,20,25,32,Oficina,Realista,Emprendedor,Social,Artístico,Científico,Oficina-Realista,"Soporte administrativo, trabajo de oficina",Oficio ,Cuerpos de Seguridad y servicios de protección,Transporte,B
5683152,Mujer,SALUD Y BIENESTAR SOCIAL.,SEGUNDO AÑO,11540,"INSTITUTO NACIONAL ""GENERAL FRANCISCO MENÉNDEZ """,SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,12,16,18,23,31,17,Emprendedor,Social,Artístico,Oficina,Científico,Realista,Emprendedor-Social,Comercial,Humanidades y Ciencias Sociales,Servicios Sociales,Educación y Cultura,D
5004234,Hombre,---,SEGUNDO AÑO,11546,"INSTITUTO NACIONAL ""GENERAL MANUEL JOSÉ ARCE""",SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,15,16,16,23,21,19,Social,Emprendedor,Oficina,Científico,Artístico,Realista,Social-Emprendedor,Servicios Sociales,Comercial,Humanidades y Ciencias Sociales,Cuerpos de Seguridad y servicios de protección,D
20062021,Hombre,---,SEGUNDO AÑO,11546,"INSTITUTO NACIONAL ""GENERAL MANUEL JOSÉ ARCE""",SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,18,19,13,18,14,18,Científico,Realista,Social,Oficina,Emprendedor,Artístico,Científico-Realista,Técnicos Tecnológicos,Ciencia de Naturaleza y Matemáticas,Oficio ,"Agropecuarios, pesca y mineria",C
3195486,Hombre,ATENCIÓN PRIMARIA EN SALUD,SEGUNDO AÑO,20566,ESCUELA TECNICA PARA LA SALUD MARIA TERESA LANG,SAN SALVADOR,SAN SALVADOR,CED_PRI,Urbana,16,23,10,30,18,12,Social,Científico,Emprendedor,Realista,Oficina,Artístico,Social-Científico,Servicios Sociales,Ciencia de Salud,Ciencia de Naturaleza y Matemáticas,Educación y Cultura,C
2935294,Hombre,ATENCIÓN PRIMARIA EN SALUD,SEGUNDO AÑO,20566,ESCUELA TECNICA PARA LA SALUD MARIA TERESA LANG,SAN SALVADOR,SAN SALVADOR,CED_PRI,Urbana,9,21,22,24,13,16,Social,Artístico,Científico,Oficina,Emprendedor,Realista,Social-Artístico,Servicios Sociales,Educación y Cultura,Artísticos,Humanidades y Ciencias Sociales,D
